symbol,strategy,score,reasons,time,interval,entry_price,SL,TP,result,open,high,low,close,volume,rsi,macd,macd_signal,macd_diff,adx,ema_short,ema_long,bb_width,volatility,atr,cci,parabolic_sar,vwap,wma,trix,bb_upper,bb_middle,bb_lower,ADX
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,18/10/2024 3:00,1d,68428,65459.7439,74364.51219,Still Open,67421.78,69000,67192.36,68428,28725.635,82.20334035,1488.12796,886.0856808,602.0422796,18.36111328,66343.67531,63807.58185,3054.722834,3040.682454,2069.852914,94.15450297,60495.63109,57780.78427,65161.72248,0.19781305,68852.94542,67325.584,65798.22258,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,28/10/2024 2:00,1d,69962.21,66888.92742,76108.77515,Still Open,68021.69,70270,67618,69962.21,29046.75459,71.99960285,1498.368201,1436.088533,62.279668,19.97039392,68059.79305,66075.0648,4528.077861,1052.712857,1995.634881,152.689964,66067.0776,57958.41725,67904.49886,0.330762025,70258.69493,67994.656,65730.61707,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,29/10/2024 2:00,1d,72736.42,69672.00571,78865.24857,SL Hit,69962.21,73620.12,69760,72736.42,50128.60594,81.53138177,1806.69937,1510.210701,296.4886696,21.74718978,69228.94979,66587.47673,8896.068437,1866.748785,2128.81239,229.6746792,66655.48674,58021.18339,68560.78962,0.344862152,73350.31822,68902.284,64454.24978,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,06/11/2024 2:00,1d,75571.99,71565.90824,83584.15352,SL Hit,69372.01,76400,69298,75571.99,104126.9948,78.18655102,1704.460761,1577.970792,126.4899692,21.41186495,70778.50043,68426.25624,10994.47786,2308.033981,2553.278426,139.2283,66835,58357.72275,70283.1461,0.355324329,75686.18693,70188.948,64691.70907,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,10/11/2024 2:00,1d,80370.01,76227.77018,88654.48964,TP Hit,76677.46,81500,76492,80370.01,61830.10044,87.88479239,2991.95159,2162.317811,829.633779,27.31748971,75624.1108,70910.34601,6938.566949,4445.813649,2575.122496,115.3638607,68557.72602,58612.17117,73868.63876,0.459810532,80466.70947,76997.426,73528.14253,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,11/11/2024 2:00,1d,88647.99,83687.19972,98569.57056,SL Hit,80370.01,89530.54,80216.01,88647.99,82323.66578,93.91918449,3959.714826,2521.797214,1437.917612,30.28105123,78880.0806,72274.78016,19145.95128,6449.299193,3056.508746,170.1241506,69593.10793,58812.51006,76019.88248,0.526903486,89185.60164,79612.626,70039.65036,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,13/11/2024 2:00,1d,90375.2,84884.51934,101356.5613,Still Open,87952,93265.64,86127.99,90375.2,86763.85413,91.18713199,5273.166948,3407.349872,1865.817077,35.93883571,83454.84721,74780.29623,21273.48876,7850.461642,3468.168766,123.5123545,73789.229,59257.47041,79959.03724,0.69564763,95441.27838,84804.534,74167.78962,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,21/11/2024 2:00,1d,98317.12,92211.57196,110528.2161,Still Open,94286.56,98988,94040,98317.12,69228.36048,87.38087713,6737.18818,5801.739749,935.4484308,50.84291234,92581.75867,83055.04327,12225.44225,3168.968686,3560.309939,199.7588945,88204.11852,60160.87424,91104.33457,1.145384697,99159.62913,93046.908,86934.18687,
BTCUSDT,strategy_breakout,2,פריצה כלפי מעלה; ווליום תומך בפריצה,16/12/2024 2:00,1d,106058.66,99218.47862,119739.0228,SL Hit,104463.99,107793.07,103333,106058.66,41302.40274,77.41765805,3730.285842,3678.76841,51.51743231,40.87222563,102408.7273,97487.19301,8930.259531,2859.046258,4011.369642,167.7490146,94039.87459,62653.75155,101219.5154,0.569352927,107139.3678,102674.238,98209.10823,
BTCUSDT,strategy_candlestick,1,Engulfing שורי,08/01/2024 2:00,1d,46951.04,,,Still Open,43929.01,47248.99,43175,46951.04,72814.57589,76.99127214,815.4039699,643.7333254,171.6706445,17.54398382,44581.15268,43336.921,4658.198015,1390.621223,1820.148684,183.9563148,40750,42719.62144,44069.39676,,46958.01701,44628.918,42299.81899,
BTCUSDT,strategy_candlestick,1,Engulfing שורי,29/01/2024 2:00,1d,43302.7,41216.76633,47474.56735,Still Open,42031.05,43333,41804.88,43302.7,31542.74207,70.80319792,-370.3863369,-506.7060722,136.3197352,18.67573992,41890.45269,42182.48572,4302.564472,1241.710301,1631.746861,116.3151192,38555,42788.40725,41447.14724,-0.192706251,43999.08024,41847.798,39696.51576,
BTCUSDT,strategy_candlestick,1,Engulfing שורי,13/03/2024 2:00,1d,73072.41,67276.57959,84664.07082,SL Hit,71452,73650.25,71333.31,73072.41,52659.71165,81.2759217,5498.062712,4987.070777,510.9919354,56.86056113,69965.53709,62421.92213,7332.953524,2868.07736,3084.801686,132.7983829,65472.19043,49182.05831,68729.45629,1.342591436,74440.81076,70774.334,67107.85724,
